task,method,raw_method,seed,snr_db,accuracy
speed_shift,ERM-SDAE,erm,42,6.0,0.4497800586510264
speed_shift,ERM-SDAE,erm,42,0.0,0.4237536656891496
speed_shift,ERM-SDAE,erm,42,-6.0,0.3878299120234604
speed_shift,Mixup-SDAE,mixup,42,6.0,0.438049853372434
speed_shift,Mixup-SDAE,mixup,42,0.0,0.40725806451612906
speed_shift,Mixup-SDAE,mixup,42,-6.0,0.3497067448680352
speed_shift,CORAL-SDAE,coral,42,6.0,0.500733137829912
speed_shift,CORAL-SDAE,coral,42,0.0,0.4783724340175953
speed_shift,CORAL-SDAE,coral,42,-6.0,0.42595307917888564
speed_shift,MMD-SDAE,mmd,42,6.0,0.49560117302052786
speed_shift,MMD-SDAE,mmd,42,0.0,0.4563782991202346
speed_shift,MMD-SDAE,mmd,42,-6.0,0.4219208211143695
speed_shift,DANN-SDAE,dann,42,6.0,0.48167155425219943
speed_shift,DANN-SDAE,dann,42,0.0,0.4505131964809384
speed_shift,DANN-SDAE,dann,42,-6.0,0.41715542521994137
speed_shift,Adaptive-SDAE-3M,proposed,42,6.0,0.6315982404692082
speed_shift,Adaptive-SDAE-3M,proposed,42,0.0,0.5956744868035191
speed_shift,Adaptive-SDAE-3M,proposed,42,-6.0,0.5370234604105572
speed_shift,ERM-SDAE,erm,7,6.0,0.4270527859237537
speed_shift,ERM-SDAE,erm,7,0.0,0.41385630498533726
speed_shift,ERM-SDAE,erm,7,-6.0,0.3936950146627566
speed_shift,Mixup-SDAE,mixup,7,6.0,0.4596774193548387
speed_shift,Mixup-SDAE,mixup,7,0.0,0.42631964809384165
speed_shift,Mixup-SDAE,mixup,7,-6.0,0.38966275659824046
speed_shift,CORAL-SDAE,coral,7,6.0,0.4831378299120235
speed_shift,CORAL-SDAE,coral,7,0.0,0.436950146627566
speed_shift,CORAL-SDAE,coral,7,-6.0,0.40249266862170086
speed_shift,MMD-SDAE,mmd,7,6.0,0.5018328445747801
speed_shift,MMD-SDAE,mmd,7,0.0,0.4831378299120235
speed_shift,MMD-SDAE,mmd,7,-6.0,0.42045454545454547
speed_shift,DANN-SDAE,dann,7,6.0,0.49486803519061584
speed_shift,DANN-SDAE,dann,7,0.0,0.47617302052785926
speed_shift,DANN-SDAE,dann,7,-6.0,0.436950146627566
speed_shift,Adaptive-SDAE-3M,proposed,7,6.0,0.6422287390029325
speed_shift,Adaptive-SDAE-3M,proposed,7,0.0,0.6092375366568915
speed_shift,Adaptive-SDAE-3M,proposed,7,-6.0,0.5344574780058651
speed_shift,ERM-SDAE,erm,2024,6.0,0.4501466275659824
speed_shift,ERM-SDAE,erm,2024,0.0,0.42668621700879766
speed_shift,ERM-SDAE,erm,2024,-6.0,0.3999266862170088
speed_shift,Mixup-SDAE,mixup,2024,6.0,0.4182551319648094
speed_shift,Mixup-SDAE,mixup,2024,0.0,0.3918621700879765
speed_shift,Mixup-SDAE,mixup,2024,-6.0,0.3497067448680352
speed_shift,CORAL-SDAE,coral,2024,6.0,0.49560117302052786
speed_shift,CORAL-SDAE,coral,2024,0.0,0.46151026392961875
speed_shift,CORAL-SDAE,coral,2024,-6.0,0.41312316715542524
speed_shift,MMD-SDAE,mmd,2024,6.0,0.48167155425219943
speed_shift,MMD-SDAE,mmd,2024,0.0,0.4593108504398827
speed_shift,MMD-SDAE,mmd,2024,-6.0,0.4046920821114369
speed_shift,DANN-SDAE,dann,2024,6.0,0.5091642228739003
speed_shift,DANN-SDAE,dann,2024,0.0,0.4838709677419355
speed_shift,DANN-SDAE,dann,2024,-6.0,0.4252199413489736
speed_shift,Adaptive-SDAE-3M,proposed,2024,6.0,0.625733137829912
speed_shift,Adaptive-SDAE-3M,proposed,2024,0.0,0.5857771260997068
speed_shift,Adaptive-SDAE-3M,proposed,2024,-6.0,0.5282258064516129
load_shift,ERM-SDAE,erm,42,6.0,0.7111436950146628
load_shift,ERM-SDAE,erm,42,0.0,0.6843841642228738
load_shift,ERM-SDAE,erm,42,-6.0,0.5784457478005866
load_shift,Mixup-SDAE,mixup,42,6.0,0.716275659824047
load_shift,Mixup-SDAE,mixup,42,0.0,0.6612903225806451
load_shift,Mixup-SDAE,mixup,42,-6.0,0.5047653958944281
load_shift,CORAL-SDAE,coral,42,6.0,0.7214076246334311
load_shift,CORAL-SDAE,coral,42,0.0,0.6752199413489736
load_shift,CORAL-SDAE,coral,42,-6.0,0.5780791788856305
load_shift,MMD-SDAE,mmd,42,6.0,0.7243401759530792
load_shift,MMD-SDAE,mmd,42,0.0,0.6873167155425219
load_shift,MMD-SDAE,mmd,42,-6.0,0.5872434017595308
load_shift,DANN-SDAE,dann,42,6.0,0.716275659824047
load_shift,DANN-SDAE,dann,42,0.0,0.6737536656891495
load_shift,DANN-SDAE,dann,42,-6.0,0.5806451612903226
load_shift,Adaptive-SDAE-3M,proposed,42,6.0,0.748900293255132
load_shift,Adaptive-SDAE-3M,proposed,42,0.0,0.7082111436950147
load_shift,Adaptive-SDAE-3M,proposed,42,-6.0,0.6407624633431085
load_shift,ERM-SDAE,erm,7,6.0,0.7148093841642229
load_shift,ERM-SDAE,erm,7,0.0,0.6803519061583577
load_shift,ERM-SDAE,erm,7,-6.0,0.5894428152492669
load_shift,Mixup-SDAE,mixup,7,6.0,0.7280058651026393
load_shift,Mixup-SDAE,mixup,7,0.0,0.6708211143695014
load_shift,Mixup-SDAE,mixup,7,-6.0,0.5623167155425219
load_shift,CORAL-SDAE,coral,7,6.0,0.718841642228739
load_shift,CORAL-SDAE,coral,7,0.0,0.6671554252199413
load_shift,CORAL-SDAE,coral,7,-6.0,0.5872434017595308
load_shift,MMD-SDAE,mmd,7,6.0,0.7199413489736071
load_shift,MMD-SDAE,mmd,7,0.0,0.6744868035190615
load_shift,MMD-SDAE,mmd,7,-6.0,0.5758797653958945
load_shift,DANN-SDAE,dann,7,6.0,0.7140762463343109
load_shift,DANN-SDAE,dann,7,0.0,0.6752199413489736
load_shift,DANN-SDAE,dann,7,-6.0,0.592375366568915
load_shift,Adaptive-SDAE-3M,proposed,7,6.0,0.7672287390029325
