task,method,class,f1
load_shift,Adaptive-SDAE-3M,healthy,0.7812165905433454
load_shift,Adaptive-SDAE-3M,inner,0.796625234135488
load_shift,Adaptive-SDAE-3M,outer,0.7944167132517975
load_shift,CORAL-SDAE,healthy,0.39336545021358776
load_shift,CORAL-SDAE,inner,0.7493280385462587
load_shift,CORAL-SDAE,outer,0.7711600142613557
load_shift,DANN-SDAE,healthy,0.32778550758494485
load_shift,DANN-SDAE,inner,0.7385974007502617
load_shift,DANN-SDAE,outer,0.7689966189616876
load_shift,ERM-SDAE,healthy,0.35994911160945314
load_shift,ERM-SDAE,inner,0.7362965141414569
load_shift,ERM-SDAE,outer,0.7722242205186038
load_shift,MMD-SDAE,healthy,0.3467990949378252
load_shift,MMD-SDAE,inner,0.7437452829790888
load_shift,MMD-SDAE,outer,0.7751255238421976
load_shift,Mixup-SDAE,healthy,0.4395113817049952
load_shift,Mixup-SDAE,inner,0.7551298050638345
load_shift,Mixup-SDAE,outer,0.7781940913545026
radial_shift,Adaptive-SDAE-3M,healthy,0.8192408034946831
radial_shift,Adaptive-SDAE-3M,inner,0.6802493991177657
radial_shift,Adaptive-SDAE-3M,outer,0.5496768067072267
radial_shift,CORAL-SDAE,healthy,0.35104593173809934
radial_shift,CORAL-SDAE,inner,0.6233811449830325
radial_shift,CORAL-SDAE,outer,0.6157132590467757
radial_shift,DANN-SDAE,healthy,0.32750281970622186
radial_shift,DANN-SDAE,inner,0.6189776131298804
radial_shift,DANN-SDAE,outer,0.6031192866891116
radial_shift,ERM-SDAE,healthy,0.3529466635246063
radial_shift,ERM-SDAE,inner,0.6165586636981198
radial_shift,ERM-SDAE,outer,0.6202098959866454
radial_shift,MMD-SDAE,healthy,0.3245158727697968
radial_shift,MMD-SDAE,inner,0.6224404017695294
radial_shift,MMD-SDAE,outer,0.6104208991815688
radial_shift,Mixup-SDAE,healthy,0.38299649833804367
radial_shift,Mixup-SDAE,inner,0.6236967141647707
radial_shift,Mixup-SDAE,outer,0.5977518148511552
speed_shift,Adaptive-SDAE-3M,healthy,0.35484749634003365
speed_shift,Adaptive-SDAE-3M,inner,0.7969402312841566
speed_shift,Adaptive-SDAE-3M,outer,0.5303241012812209
speed_shift,CORAL-SDAE,healthy,0.2470243714720887
speed_shift,CORAL-SDAE,inner,0.6274178298117513
speed_shift,CORAL-SDAE,outer,0.39447252630662283
speed_shift,DANN-SDAE,healthy,0.22979064594009246
speed_shift,DANN-SDAE,inner,0.6135541132869015
speed_shift,DANN-SDAE,outer,0.4262660706652137
speed_shift,ERM-SDAE,healthy,0.2144780527251915
speed_shift,ERM-SDAE,inner,0.5964196431933053
speed_shift,ERM-SDAE,outer,0.27932532931158366
speed_shift,MMD-SDAE,healthy,0.2049093508801155
speed_shift,MMD-SDAE,inner,0.6174124825752235
speed_shift,MMD-SDAE,outer,0.4381316829492568
speed_shift,Mixup-SDAE,healthy,0.2295072333015018
speed_shift,Mixup-SDAE,inner,0.5965652902177043
speed_shift,Mixup-SDAE,outer,0.29054846129502704
