task,method,raw_method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_seeds
load_shift,Adaptive-SDAE-3M,proposed,0.7945992179863147,0.006310240143536337,0.7907528459768769,0.015056395409554628,3
load_shift,CORAL-SDAE,coral,0.7365591397849464,0.00402113457280162,0.637951167673734,0.0035254581043572025,3
load_shift,DANN-SDAE,dann,0.7276392961876833,0.0012698319703584133,0.6117931757656313,0.007679187821988566,3
load_shift,ERM-SDAE,erm,0.7283724340175953,0.004227478956990767,0.6228232820898381,0.007026989628476876,3
load_shift,MMD-SDAE,mmd,0.7327712609970675,0.009001487652352362,0.6218899672530371,0.021877939572788732,3
load_shift,Mixup-SDAE,mixup,0.7435239491691105,0.007232966073777482,0.657611759374444,0.011868806262106164,3
radial_shift,Adaptive-SDAE-3M,proposed,0.6433284457478006,0.009251781132055706,0.6830556697732252,0.01037555100879196,3
radial_shift,CORAL-SDAE,coral,0.6008064516129032,0.001832844574780057,0.5300467785893025,0.004731948474392069,3
radial_shift,DANN-SDAE,dann,0.593108504398827,0.010743659010082712,0.5165332398417379,0.010123961691491087,3
radial_shift,ERM-SDAE,erm,0.6005620723362659,0.0018082415184443518,0.5299050744031238,0.0022090688786540417,3
radial_shift,MMD-SDAE,mmd,0.5976295210166178,0.002440736113812092,0.5191257245736317,0.007382154583710755,3
radial_shift,Mixup-SDAE,mixup,0.592741935483871,0.009842904385701977,0.5348150091179898,0.0069889172145361335,3
speed_shift,Adaptive-SDAE-3M,proposed,0.6064271749755621,0.00500381115089034,0.5607039429684705,0.009831162693103593,3
speed_shift,CORAL-SDAE,coral,0.5083088954056696,0.00824033005869372,0.42297157586348755,0.013747270904418548,3
speed_shift,DANN-SDAE,dann,0.5061094819159335,0.016492885624204184,0.42320360996406925,0.015782870445672666,3
speed_shift,ERM-SDAE,erm,0.4512463343108504,0.008383135356326439,0.3634076750766935,0.01582149083493683,3
speed_shift,MMD-SDAE,mmd,0.509652981427175,0.0013878075136364416,0.42015117213486525,0.004775383556195195,3
speed_shift,Mixup-SDAE,mixup,0.4492913000977517,0.015035284801897423,0.37220699493807774,0.012244014756191619,3
