margin,weight,seed,accuracy,macro_f1
4.0,0.005,42,0.5351906158357771,0.5191941793435657
4.0,0.005,7,0.5447214076246334,0.525129201372061
4.0,0.02,42,0.5509530791788856,0.5220512568280542
4.0,0.02,7,0.5278592375366569,0.48306766466593487
4.0,0.05,42,0.49486803519061584,0.41683999409069844
4.0,0.05,7,0.5131964809384164,0.4605527801482819
4.0,0.1,42,0.4670087976539589,0.40984086343884285
4.0,0.1,7,0.48826979472140764,0.4401013974318057
8.0,0.005,42,0.5351906158357771,0.4940026732710563
8.0,0.005,7,0.5872434017595308,0.5382467815926394
8.0,0.02,42,0.4567448680351906,0.4229988508837432
8.0,0.02,7,0.5117302052785924,0.4628109890014498
8.0,0.05,42,0.4604105571847507,0.4163189498982289
8.0,0.05,7,0.5403225806451613,0.47997349113613286
8.0,0.1,42,0.47653958944281527,0.4242695435085882
8.0,0.1,7,0.5439882697947214,0.484680644069374
12.0,0.005,42,0.5227272727272727,0.46647647198531894
12.0,0.005,7,0.5256598240469208,0.4786306874992709
12.0,0.02,42,0.48863636363636365,0.4349220722924801
12.0,0.02,7,0.5106304985337243,0.4594237512850096
12.0,0.05,42,0.4750733137829912,0.42568809443248173
12.0,0.05,7,0.4963343108504399,0.4501001913146445
12.0,0.1,42,0.47324046920821117,0.4232305811432265
12.0,0.1,7,0.5179618768328446,0.46785213479485677
16.0,0.005,42,0.4959677419354839,0.44233557672801327
16.0,0.005,7,0.5021994134897361,0.45965366595188994
16.0,0.02,42,0.44208211143695014,0.39260468267477117
16.0,0.02,7,0.5047653958944281,0.4548233781520746
16.0,0.05,42,0.4472140762463343,0.3913645963562124
16.0,0.05,7,0.49780058651026393,0.4490108948721136
16.0,0.1,42,0.46920821114369504,0.41305625467855545
16.0,0.1,7,0.5098973607038123,0.45452722687770725
