margin,weight,accuracy_mean,accuracy_std
4.0,0.005,0.5399560117302052,0.006739287503977353
4.0,0.02,0.5394061583577712,0.01632981202886816
4.0,0.05,0.5040322580645161,0.012960168276879526
4.0,0.1,0.4776392961876833,0.015033795201180268
8.0,0.005,0.561217008797654,0.03680687790633789
8.0,0.02,0.4842375366568915,0.038880504830638596
8.0,0.05,0.500366568914956,0.05650633368719475
8.0,0.1,0.5102639296187683,0.04769341925891665
12.0,0.005,0.5241935483870968,0.002073626924300724
12.0,0.02,0.499633431085044,0.01555220193225543
12.0,0.05,0.48570381231671556,0.01503379520118025
12.0,0.1,0.49560117302052786,0.03162281059558604
16.0,0.005,0.49908357771260997,0.004406457214139039
16.0,0.02,0.4734237536656891,0.04432377550692804
16.0,0.05,0.47250733137829914,0.03577006444418751
16.0,0.1,0.4895527859237537,0.028771573574672547
