task,method,raw_method,seed,snr_db,accuracy
a_to_b,ERM-SDAE,erm,42,6.0,0.5395894428152492
a_to_b,ERM-SDAE,erm,42,0.0,0.49853372434017595
a_to_b,ERM-SDAE,erm,42,-6.0,0.42558651026392963
a_to_b,Mixup-SDAE,mixup,42,6.0,0.5
a_to_b,Mixup-SDAE,mixup,42,0.0,0.46444281524926684
a_to_b,Mixup-SDAE,mixup,42,-6.0,0.4043255131964809
a_to_b,CORAL-SDAE,coral,42,6.0,0.5839442815249267
a_to_b,CORAL-SDAE,coral,42,0.0,0.5366568914956011
a_to_b,CORAL-SDAE,coral,42,-6.0,0.4560117302052786
a_to_b,MMD-SDAE,mmd,42,6.0,0.5626832844574781
a_to_b,MMD-SDAE,mmd,42,0.0,0.5373900293255132
a_to_b,MMD-SDAE,mmd,42,-6.0,0.4670087976539589
a_to_b,DANN-SDAE,dann,42,6.0,0.5956744868035191
a_to_b,DANN-SDAE,dann,42,0.0,0.5395894428152492
a_to_b,DANN-SDAE,dann,42,-6.0,0.46994134897360706
a_to_b,Adaptive-SDAE-3M,proposed,42,6.0,0.5872434017595308
a_to_b,Adaptive-SDAE-3M,proposed,42,0.0,0.5619501466275659
a_to_b,Adaptive-SDAE-3M,proposed,42,-6.0,0.5128299120234604
a_to_c,ERM-SDAE,erm,42,6.0,0.46847507331378296
a_to_c,ERM-SDAE,erm,42,0.0,0.43255131964809385
a_to_c,ERM-SDAE,erm,42,-6.0,0.39846041055718473
a_to_c,Mixup-SDAE,mixup,42,6.0,0.4527126099706745
a_to_c,Mixup-SDAE,mixup,42,0.0,0.4285190615835777
a_to_c,Mixup-SDAE,mixup,42,-6.0,0.3845307917888563
a_to_c,CORAL-SDAE,coral,42,6.0,0.4930351906158358
a_to_c,CORAL-SDAE,coral,42,0.0,0.4534457478005865
a_to_c,CORAL-SDAE,coral,42,-6.0,0.42338709677419356
a_to_c,MMD-SDAE,mmd,42,6.0,0.501466275659824
a_to_c,MMD-SDAE,mmd,42,0.0,0.47324046920821117
a_to_c,MMD-SDAE,mmd,42,-6.0,0.4340175953079179
a_to_c,DANN-SDAE,dann,42,6.0,0.5
a_to_c,DANN-SDAE,dann,42,0.0,0.4567448680351906
a_to_c,DANN-SDAE,dann,42,-6.0,0.4046920821114369
a_to_c,Adaptive-SDAE-3M,proposed,42,6.0,0.5021994134897361
a_to_c,Adaptive-SDAE-3M,proposed,42,0.0,0.48863636363636365
a_to_c,Adaptive-SDAE-3M,proposed,42,-6.0,0.46847507331378296
a_to_d,ERM-SDAE,erm,42,6.0,0.5128299120234604
a_to_d,ERM-SDAE,erm,42,0.0,0.4714076246334311
a_to_d,ERM-SDAE,erm,42,-6.0,0.4079912023460411
a_to_d,Mixup-SDAE,mixup,42,6.0,0.48936950146627567
a_to_d,Mixup-SDAE,mixup,42,0.0,0.4633431085043988
a_to_d,Mixup-SDAE,mixup,42,-6.0,0.40579178885630496
a_to_d,CORAL-SDAE,coral,42,6.0,0.5417888563049853
a_to_d,CORAL-SDAE,coral,42,0.0,0.5032991202346041
a_to_d,CORAL-SDAE,coral,42,-6.0,0.4237536656891496
a_to_d,MMD-SDAE,mmd,42,6.0,0.5128299120234604
a_to_d,MMD-SDAE,mmd,42,0.0,0.4868035190615836
a_to_d,MMD-SDAE,mmd,42,-6.0,0.4442815249266862
a_to_d,DANN-SDAE,dann,42,6.0,0.5359237536656891
a_to_d,DANN-SDAE,dann,42,0.0,0.5062316715542522
a_to_d,DANN-SDAE,dann,42,-6.0,0.44281524926686217
a_to_d,Adaptive-SDAE-3M,proposed,42,6.0,0.5480205278592375
a_to_d,Adaptive-SDAE-3M,proposed,42,0.0,0.5205278592375366
a_to_d,Adaptive-SDAE-3M,proposed,42,-6.0,0.49156891495601174
b_to_a,ERM-SDAE,erm,42,6.0,0.4534457478005865
b_to_a,ERM-SDAE,erm,42,0.0,0.42338709677419356
b_to_a,ERM-SDAE,erm,42,-6.0,0.3940615835777126
b_to_a,Mixup-SDAE,mixup,42,6.0,0.4431818181818182
b_to_a,Mixup-SDAE,mixup,42,0.0,0.40615835777126097
b_to_a,Mixup-SDAE,mixup,42,-6.0,0.38013196480938416
b_to_a,CORAL-SDAE,coral,42,6.0,0.4846041055718475
b_to_a,CORAL-SDAE,coral,42,0.0,0.45234604105571846
b_to_a,CORAL-SDAE,coral,42,-6.0,0.41972140762463345
b_to_a,MMD-SDAE,mmd,42,6.0,0.4846041055718475
b_to_a,MMD-SDAE,mmd,42,0.0,0.46774193548387094
b_to_a,MMD-SDAE,mmd,42,-6.0,0.4083577712609971
b_to_a,DANN-SDAE,dann,42,6.0,0.47653958944281527
b_to_a,DANN-SDAE,dann,42,0.0,0.44501466275659823
b_to_a,DANN-SDAE,dann,42,-6.0,0.41678885630498536
b_to_a,Adaptive-SDAE-3M,proposed,42,6.0,0.6370967741935484
b_to_a,Adaptive-SDAE-3M,proposed,42,0.0,0.5773460410557185
b_to_a,Adaptive-SDAE-3M,proposed,42,-6.0,0.5263929618768328
b_to_c,ERM-SDAE,erm,42,6.0,0.5843108504398827
b_to_c,ERM-SDAE,erm,42,0.0,0.5443548387096774
b_to_c,ERM-SDAE,erm,42,-6.0,0.47324046920821117
b_to_c,Mixup-SDAE,mixup,42,6.0,0.5956744868035191
b_to_c,Mixup-SDAE,mixup,42,0.0,0.5513196480938416
b_to_c,Mixup-SDAE,mixup,42,-6.0,0.45821114369501464
b_to_c,CORAL-SDAE,coral,42,6.0,0.5865102639296188
b_to_c,CORAL-SDAE,coral,42,0.0,0.5403225806451613
b_to_c,CORAL-SDAE,coral,42,-6.0,0.46920821114369504
b_to_c,MMD-SDAE,mmd,42,6.0,0.5989736070381232
b_to_c,MMD-SDAE,mmd,42,0.0,0.5648826979472141
b_to_c,MMD-SDAE,mmd,42,-6.0,0.47250733137829914
b_to_c,DANN-SDAE,dann,42,6.0,0.5802785923753666
b_to_c,DANN-SDAE,dann,42,0.0,0.5282258064516129
b_to_c,DANN-SDAE,dann,42,-6.0,0.47250733137829914
b_to_c,Adaptive-SDAE-3M,proposed,42,6.0,0.5989736070381232
b_to_c,Adaptive-SDAE-3M,proposed,42,0.0,0.5689149560117303
b_to_c,Adaptive-SDAE-3M,proposed,42,-6.0,0.5120967741935484
b_to_d,ERM-SDAE,erm,42,6.0,0.7151759530791789
b_to_d,ERM-SDAE,erm,42,0.0,0.6678885630498533
b_to_d,ERM-SDAE,erm,42,-6.0,0.5623167155425219
b_to_d,Mixup-SDAE,mixup,42,6.0,0.7100439882697948
b_to_d,Mixup-SDAE,mixup,42,0.0,0.6535923753665689
b_to_d,Mixup-SDAE,mixup,42,-6.0,0.5388563049853372
b_to_d,CORAL-SDAE,coral,42,6.0,0.718841642228739
b_to_d,CORAL-SDAE,coral,42,0.0,0.6711876832844574
b_to_d,CORAL-SDAE,coral,42,-6.0,0.5773460410557185
b_to_d,MMD-SDAE,mmd,42,6.0,0.7089442815249267
b_to_d,MMD-SDAE,mmd,42,0.0,0.6744868035190615
b_to_d,MMD-SDAE,mmd,42,-6.0,0.5685483870967742
b_to_d,DANN-SDAE,dann,42,6.0,0.7038123167155426
b_to_d,DANN-SDAE,dann,42,0.0,0.6609237536656891
b_to_d,DANN-SDAE,dann,42,-6.0,0.5784457478005866
b_to_d,Adaptive-SDAE-3M,proposed,42,6.0,0.7386363636363636
b_to_d,Adaptive-SDAE-3M,proposed,42,0.0,0.7005131964809385
b_to_d,Adaptive-SDAE-3M,proposed,42,-6.0,0.6121700879765396
c_to_a,ERM-SDAE,erm,42,6.0,0.43658357771260997
c_to_a,ERM-SDAE,erm,42,0.0,0.4039589442815249
c_to_a,ERM-SDAE,erm,42,-6.0,0.36730205278592376
c_to_a,Mixup-SDAE,mixup,42,6.0,0.3845307917888563
c_to_a,Mixup-SDAE,mixup,42,0.0,0.3654692082111437
c_to_a,Mixup-SDAE,mixup,42,-6.0,0.3379765395894428
c_to_a,CORAL-SDAE,coral,42,6.0,0.46517595307917886
c_to_a,CORAL-SDAE,coral,42,0.0,0.42961876832844575
c_to_a,CORAL-SDAE,coral,42,-6.0,0.40542521994134895
c_to_a,MMD-SDAE,mmd,42,6.0,0.4442815249266862
c_to_a,MMD-SDAE,mmd,42,0.0,0.40615835777126097
c_to_a,MMD-SDAE,mmd,42,-6.0,0.3790322580645161
c_to_a,DANN-SDAE,dann,42,6.0,0.43585043988269795
c_to_a,DANN-SDAE,dann,42,0.0,0.43658357771260997
c_to_a,DANN-SDAE,dann,42,-6.0,0.3852639296187683
c_to_a,Adaptive-SDAE-3M,proposed,42,6.0,0.6213343108504399
c_to_a,Adaptive-SDAE-3M,proposed,42,0.0,0.530791788856305
c_to_a,Adaptive-SDAE-3M,proposed,42,-6.0,0.5084310850439883
c_to_b,ERM-SDAE,erm,42,6.0,0.6268328445747801
c_to_b,ERM-SDAE,erm,42,0.0,0.5879765395894428
c_to_b,ERM-SDAE,erm,42,-6.0,0.5153958944281525
c_to_b,Mixup-SDAE,mixup,42,6.0,0.6000733137829912
c_to_b,Mixup-SDAE,mixup,42,0.0,0.5692815249266863
c_to_b,Mixup-SDAE,mixup,42,-6.0,0.4901026392961877
c_to_b,CORAL-SDAE,coral,42,6.0,0.6217008797653959
c_to_b,CORAL-SDAE,coral,42,0.0,0.5901759530791789
c_to_b,CORAL-SDAE,coral,42,-6.0,0.5161290322580645
c_to_b,MMD-SDAE,mmd,42,6.0,0.6323313782991202
c_to_b,MMD-SDAE,mmd,42,0.0,0.5978739002932552
c_to_b,MMD-SDAE,mmd,42,-6.0,0.5450879765395894
c_to_b,DANN-SDAE,dann,42,6.0,0.625733137829912
c_to_b,DANN-SDAE,dann,42,0.0,0.6110703812316716
c_to_b,DANN-SDAE,dann,42,-6.0,0.5487536656891495
c_to_b,Adaptive-SDAE-3M,proposed,42,6.0,0.6653225806451613
c_to_b,Adaptive-SDAE-3M,proposed,42,0.0,0.6184017595307918
c_to_b,Adaptive-SDAE-3M,proposed,42,-6.0,0.5597507331378299
c_to_d,ERM-SDAE,erm,42,6.0,0.6114369501466276
c_to_d,ERM-SDAE,erm,42,0.0,0.5582844574780058
c_to_d,ERM-SDAE,erm,42,-6.0,0.4930351906158358
c_to_d,Mixup-SDAE,mixup,42,6.0,0.5997067448680352
c_to_d,Mixup-SDAE,mixup,42,0.0,0.5634164222873901
c_to_d,Mixup-SDAE,mixup,42,-6.0,0.4706744868035191
c_to_d,CORAL-SDAE,coral,42,6.0,0.624633431085044
c_to_d,CORAL-SDAE,coral,42,0.0,0.5821114369501467
c_to_d,CORAL-SDAE,coral,42,-6.0,0.501466275659824
c_to_d,MMD-SDAE,mmd,42,6.0,0.6041055718475073
c_to_d,MMD-SDAE,mmd,42,0.0,0.5854105571847508
c_to_d,MMD-SDAE,mmd,42,-6.0,0.5399560117302052
c_to_d,DANN-SDAE,dann,42,6.0,0.6224340175953079
c_to_d,DANN-SDAE,dann,42,0.0,0.6096041055718475
c_to_d,DANN-SDAE,dann,42,-6.0,0.531158357771261
c_to_d,Adaptive-SDAE-3M,proposed,42,6.0,0.6796187683284457
c_to_d,Adaptive-SDAE-3M,proposed,42,0.0,0.624266862170088
c_to_d,Adaptive-SDAE-3M,proposed,42,-6.0,0.5586510263929618
d_to_a,ERM-SDAE,erm,42,6.0,0.4497800586510264
d_to_a,ERM-SDAE,erm,42,0.0,0.4237536656891496
d_to_a,ERM-SDAE,erm,42,-6.0,0.3878299120234604
d_to_a,Mixup-SDAE,mixup,42,6.0,0.438049853372434
d_to_a,Mixup-SDAE,mixup,42,0.0,0.40725806451612906
d_to_a,Mixup-SDAE,mixup,42,-6.0,0.3497067448680352
d_to_a,CORAL-SDAE,coral,42,6.0,0.500733137829912
d_to_a,CORAL-SDAE,coral,42,0.0,0.4783724340175953
d_to_a,CORAL-SDAE,coral,42,-6.0,0.42595307917888564
d_to_a,MMD-SDAE,mmd,42,6.0,0.49560117302052786
d_to_a,MMD-SDAE,mmd,42,0.0,0.4563782991202346
d_to_a,MMD-SDAE,mmd,42,-6.0,0.4219208211143695
d_to_a,DANN-SDAE,dann,42,6.0,0.48167155425219943
d_to_a,DANN-SDAE,dann,42,0.0,0.4505131964809384
d_to_a,DANN-SDAE,dann,42,-6.0,0.41715542521994137
d_to_a,Adaptive-SDAE-3M,proposed,42,6.0,0.6315982404692082
d_to_a,Adaptive-SDAE-3M,proposed,42,0.0,0.5956744868035191
d_to_a,Adaptive-SDAE-3M,proposed,42,-6.0,0.5370234604105572
d_to_b,ERM-SDAE,erm,42,6.0,0.7111436950146628
d_to_b,ERM-SDAE,erm,42,0.0,0.6843841642228738
d_to_b,ERM-SDAE,erm,42,-6.0,0.5784457478005866
d_to_b,Mixup-SDAE,mixup,42,6.0,0.716275659824047
