task,method,raw_method,snr_db,accuracy_mean,accuracy_std,n_seeds
a_to_b,Adaptive-SDAE-3M,proposed,-6.0,0.5128299120234604,0.0,1
a_to_b,Adaptive-SDAE-3M,proposed,0.0,0.5619501466275659,0.0,1
a_to_b,Adaptive-SDAE-3M,proposed,6.0,0.5872434017595308,0.0,1
a_to_b,CORAL-SDAE,coral,-6.0,0.4560117302052786,0.0,1
a_to_b,CORAL-SDAE,coral,0.0,0.5366568914956011,0.0,1
a_to_b,CORAL-SDAE,coral,6.0,0.5839442815249267,0.0,1
a_to_b,DANN-SDAE,dann,-6.0,0.46994134897360706,0.0,1
a_to_b,DANN-SDAE,dann,0.0,0.5395894428152492,0.0,1
a_to_b,DANN-SDAE,dann,6.0,0.5956744868035191,0.0,1
a_to_b,ERM-SDAE,erm,-6.0,0.42558651026392963,0.0,1
a_to_b,ERM-SDAE,erm,0.0,0.49853372434017595,0.0,1
a_to_b,ERM-SDAE,erm,6.0,0.5395894428152492,0.0,1
a_to_b,MMD-SDAE,mmd,-6.0,0.4670087976539589,0.0,1
a_to_b,MMD-SDAE,mmd,0.0,0.5373900293255132,0.0,1
a_to_b,MMD-SDAE,mmd,6.0,0.5626832844574781,0.0,1
a_to_b,Mixup-SDAE,mixup,-6.0,0.4043255131964809,0.0,1
a_to_b,Mixup-SDAE,mixup,0.0,0.46444281524926684,0.0,1
a_to_b,Mixup-SDAE,mixup,6.0,0.5,0.0,1
a_to_c,Adaptive-SDAE-3M,proposed,-6.0,0.46847507331378296,0.0,1
a_to_c,Adaptive-SDAE-3M,proposed,0.0,0.48863636363636365,0.0,1
a_to_c,Adaptive-SDAE-3M,proposed,6.0,0.5021994134897361,0.0,1
a_to_c,CORAL-SDAE,coral,-6.0,0.42338709677419356,0.0,1
a_to_c,CORAL-SDAE,coral,0.0,0.4534457478005865,0.0,1
a_to_c,CORAL-SDAE,coral,6.0,0.4930351906158358,0.0,1
a_to_c,DANN-SDAE,dann,-6.0,0.4046920821114369,0.0,1
a_to_c,DANN-SDAE,dann,0.0,0.4567448680351906,0.0,1
a_to_c,DANN-SDAE,dann,6.0,0.5,0.0,1
a_to_c,ERM-SDAE,erm,-6.0,0.39846041055718473,0.0,1
a_to_c,ERM-SDAE,erm,0.0,0.43255131964809385,0.0,1
a_to_c,ERM-SDAE,erm,6.0,0.46847507331378296,0.0,1
a_to_c,MMD-SDAE,mmd,-6.0,0.4340175953079179,0.0,1
a_to_c,MMD-SDAE,mmd,0.0,0.47324046920821117,0.0,1
a_to_c,MMD-SDAE,mmd,6.0,0.501466275659824,0.0,1
a_to_c,Mixup-SDAE,mixup,-6.0,0.3845307917888563,0.0,1
a_to_c,Mixup-SDAE,mixup,0.0,0.4285190615835777,0.0,1
a_to_c,Mixup-SDAE,mixup,6.0,0.4527126099706745,0.0,1
a_to_d,Adaptive-SDAE-3M,proposed,-6.0,0.49156891495601174,0.0,1
a_to_d,Adaptive-SDAE-3M,proposed,0.0,0.5205278592375366,0.0,1
a_to_d,Adaptive-SDAE-3M,proposed,6.0,0.5480205278592375,0.0,1
a_to_d,CORAL-SDAE,coral,-6.0,0.4237536656891496,0.0,1
a_to_d,CORAL-SDAE,coral,0.0,0.5032991202346041,0.0,1
a_to_d,CORAL-SDAE,coral,6.0,0.5417888563049853,0.0,1
a_to_d,DANN-SDAE,dann,-6.0,0.44281524926686217,0.0,1
a_to_d,DANN-SDAE,dann,0.0,0.5062316715542522,0.0,1
a_to_d,DANN-SDAE,dann,6.0,0.5359237536656891,0.0,1
a_to_d,ERM-SDAE,erm,-6.0,0.4079912023460411,0.0,1
