task,method,class,f1
a_to_b,Adaptive-SDAE-3M,healthy,0.09885931558935362
a_to_b,Adaptive-SDAE-3M,inner,0.6870324189526184
a_to_b,Adaptive-SDAE-3M,outer,0.4745591939546599
a_to_b,CORAL-SDAE,healthy,0.27627627627627627
a_to_b,CORAL-SDAE,inner,0.6668871981475356
a_to_b,CORAL-SDAE,outer,0.5552380952380953
a_to_b,DANN-SDAE,healthy,0.24096385542168675
a_to_b,DANN-SDAE,inner,0.6597175521183591
a_to_b,DANN-SDAE,outer,0.5609302325581396
a_to_b,ERM-SDAE,healthy,0.23626373626373626
a_to_b,ERM-SDAE,inner,0.6416558861578268
a_to_b,ERM-SDAE,outer,0.473
a_to_b,MMD-SDAE,healthy,0.2160493827160494
a_to_b,MMD-SDAE,inner,0.6534201954397395
a_to_b,MMD-SDAE,outer,0.5198836081474297
a_to_b,Mixup-SDAE,healthy,0.24390243902439024
a_to_b,Mixup-SDAE,inner,0.6261919898283536
a_to_b,Mixup-SDAE,outer,0.40210526315789474
a_to_c,Adaptive-SDAE-3M,healthy,0.33999999999999997
a_to_c,Adaptive-SDAE-3M,inner,0.6613756613756614
a_to_c,Adaptive-SDAE-3M,outer,0.27936145952109465
a_to_c,CORAL-SDAE,healthy,0.22662889518413598
a_to_c,CORAL-SDAE,inner,0.5996789727126806
a_to_c,CORAL-SDAE,outer,0.4154929577464789
a_to_c,DANN-SDAE,healthy,0.255125284738041
a_to_c,DANN-SDAE,inner,0.5909561615464274
a_to_c,DANN-SDAE,outer,0.45943396226415095
a_to_c,ERM-SDAE,healthy,0.2585858585858586
a_to_c,ERM-SDAE,inner,0.5898463593854375
a_to_c,ERM-SDAE,outer,0.37620742247076766
a_to_c,MMD-SDAE,healthy,0.2606516290726817
a_to_c,MMD-SDAE,inner,0.6049798115746973
a_to_c,MMD-SDAE,outer,0.4671462829736211
a_to_c,Mixup-SDAE,healthy,0.24955436720142607
a_to_c,Mixup-SDAE,inner,0.5953795379537954
a_to_c,Mixup-SDAE,outer,0.3485254691689008
a_to_d,Adaptive-SDAE-3M,healthy,0.0546875
a_to_d,Adaptive-SDAE-3M,inner,0.6405228758169934
a_to_d,Adaptive-SDAE-3M,outer,0.46904881731253145
a_to_d,CORAL-SDAE,healthy,0.2738095238095238
a_to_d,CORAL-SDAE,inner,0.6414610701698175
a_to_d,CORAL-SDAE,outer,0.4722361180590295
a_to_d,DANN-SDAE,healthy,0.2748538011695907
a_to_d,DANN-SDAE,inner,0.6368386675375571
a_to_d,DANN-SDAE,outer,0.4775828460038986
a_to_d,ERM-SDAE,healthy,0.2699724517906336
a_to_d,ERM-SDAE,inner,0.6402535657686212
a_to_d,ERM-SDAE,outer,0.4365325077399381
a_to_d,MMD-SDAE,healthy,0.30952380952380953
a_to_d,MMD-SDAE,inner,0.6329884357881923
a_to_d,MMD-SDAE,outer,0.36532170119956375
a_to_d,Mixup-SDAE,healthy,0.2462311557788945
a_to_d,Mixup-SDAE,inner,0.6196127420362274
a_to_d,Mixup-SDAE,outer,0.3588362068965517
b_to_a,Adaptive-SDAE-3M,healthy,0.3406593406593406
b_to_a,Adaptive-SDAE-3M,inner,0.7788187372708758
b_to_a,Adaptive-SDAE-3M,outer,0.5246091488129705
b_to_a,CORAL-SDAE,healthy,0.2286689419795222
b_to_a,CORAL-SDAE,inner,0.6135406543569809
b_to_a,CORAL-SDAE,outer,0.37913628715647785
b_to_a,DANN-SDAE,healthy,0.22780569514237856
b_to_a,DANN-SDAE,inner,0.6092671705553729
b_to_a,DANN-SDAE,outer,0.3876651982378854
b_to_a,ERM-SDAE,healthy,0.24923076923076923
b_to_a,ERM-SDAE,inner,0.6049343159243833
b_to_a,ERM-SDAE,outer,0.3169139465875371
b_to_a,MMD-SDAE,healthy,0.24752475247524752
b_to_a,MMD-SDAE,inner,0.617120106171201
b_to_a,MMD-SDAE,outer,0.3965141612200435
b_to_a,Mixup-SDAE,healthy,0.23513513513513515
b_to_a,Mixup-SDAE,inner,0.5957161981258366
b_to_a,Mixup-SDAE,outer,0.31018518518518523
b_to_c,Adaptive-SDAE-3M,healthy,0.7591240875912408
b_to_c,Adaptive-SDAE-3M,inner,0.6702127659574468
b_to_c,Adaptive-SDAE-3M,outer,0.5596465390279823
b_to_c,CORAL-SDAE,healthy,0.3187660668380463
b_to_c,CORAL-SDAE,inner,0.6296033994334278
b_to_c,CORAL-SDAE,outer,0.5938475256353098
b_to_c,DANN-SDAE,healthy,0.2809917355371901
b_to_c,DANN-SDAE,inner,0.6244215023139907
b_to_c,DANN-SDAE,outer,0.6050788091068301
b_to_c,ERM-SDAE,healthy,0.2951653944020356
b_to_c,ERM-SDAE,inner,0.6181277860326896
b_to_c,ERM-SDAE,outer,0.6309574019401096
b_to_c,MMD-SDAE,healthy,0.3384615384615384
b_to_c,MMD-SDAE,inner,0.626843657817109
b_to_c,MMD-SDAE,outer,0.6270178419711131
b_to_c,Mixup-SDAE,healthy,0.35714285714285715
b_to_c,Mixup-SDAE,inner,0.6443484521238301
b_to_c,Mixup-SDAE,outer,0.6141732283464567
b_to_d,Adaptive-SDAE-3M,healthy,0.6166666666666667
b_to_d,Adaptive-SDAE-3M,inner,0.7705095771593784
b_to_d,Adaptive-SDAE-3M,outer,0.7840274796049808
b_to_d,CORAL-SDAE,healthy,0.3180428134556575
b_to_d,CORAL-SDAE,inner,0.745978301533857
b_to_d,CORAL-SDAE,outer,0.778501628664495
b_to_d,DANN-SDAE,healthy,0.2611464968152866
b_to_d,DANN-SDAE,inner,0.7332832456799399
b_to_d,DANN-SDAE,outer,0.7685483870967742
b_to_d,ERM-SDAE,healthy,0.36103151862464183
b_to_d,ERM-SDAE,inner,0.7390965732087228
b_to_d,ERM-SDAE,outer,0.7806222922410397
b_to_d,MMD-SDAE,healthy,0.323170731707317
b_to_d,MMD-SDAE,inner,0.7331804281345565
b_to_d,MMD-SDAE,outer,0.7707006369426751
b_to_d,Mixup-SDAE,healthy,0.3796033994334277
b_to_d,Mixup-SDAE,inner,0.7468499427262315
b_to_d,Mixup-SDAE,outer,0.7769726247987118
c_to_a,Adaptive-SDAE-3M,healthy,0.32236842105263164
c_to_a,Adaptive-SDAE-3M,inner,0.7701575532900834
c_to_a,Adaptive-SDAE-3M,outer,0.49268841394825647
c_to_a,CORAL-SDAE,healthy,0.2360248447204969
c_to_a,CORAL-SDAE,inner,0.5457943925233646
c_to_a,CORAL-SDAE,outer,0.44642021525503045
c_to_a,DANN-SDAE,healthy,0.22773722627737225
c_to_a,DANN-SDAE,inner,0.5336906584992344
c_to_a,DANN-SDAE,outer,0.4418712366836498
c_to_a,ERM-SDAE,healthy,0.20719424460431654
c_to_a,ERM-SDAE,inner,0.5202135774218155
c_to_a,ERM-SDAE,outer,0.42075736325385693
