task,method,raw_method,seed,accuracy,macro_f1,best_epoch,source_domain,target_domain,hidden_dims
a_to_b,ERM-SDAE,erm,42,0.5527859237536656,0.4503065408071876,10,N09_M07_F10,N15_M01_F10,512-256
a_to_b,Mixup-SDAE,mixup,42,0.5194281524926686,0.4240665640035462,6,N09_M07_F10,N15_M01_F10,512-256
a_to_b,CORAL-SDAE,coral,42,0.6000733137829912,0.49946718988730243,10,N09_M07_F10,N15_M01_F10,512-256
a_to_b,MMD-SDAE,mmd,42,0.5769794721407625,0.4631177287677395,9,N09_M07_F10,N15_M01_F10,512-256
a_to_b,DANN-SDAE,dann,42,0.5953079178885631,0.4872038800327285,6,N09_M07_F10,N15_M01_F10,512-256
a_to_b,Adaptive-SDAE-3M,proposed,42,0.5813782991202346,0.4201503094988773,4,N09_M07_F10,N15_M01_F10,640-320
a_to_c,ERM-SDAE,erm,42,0.48277126099706746,0.4082132134806879,10,N09_M07_F10,N15_M07_F04,512-256
a_to_c,Mixup-SDAE,mixup,42,0.47543988269794724,0.3978197914413741,6,N09_M07_F10,N15_M07_F04,512-256
a_to_c,CORAL-SDAE,coral,42,0.5084310850439883,0.4139336085477652,10,N09_M07_F10,N15_M07_F04,512-256
a_to_c,MMD-SDAE,mmd,42,0.5271260997067448,0.44425924120700006,7,N09_M07_F10,N15_M07_F04,512-256
a_to_c,DANN-SDAE,dann,42,0.5128299120234604,0.43517180284953977,6,N09_M07_F10,N15_M07_F04,512-256
a_to_c,Adaptive-SDAE-3M,proposed,42,0.5208944281524927,0.426912373632252,4,N09_M07_F10,N15_M07_F04,640-320
a_to_d,ERM-SDAE,erm,42,0.5432551319648093,0.44891950843306433,10,N09_M07_F10,N15_M07_F10,512-256
a_to_d,Mixup-SDAE,mixup,42,0.5036656891495601,0.4082267015705579,6,N09_M07_F10,N15_M07_F10,512-256
a_to_d,CORAL-SDAE,coral,42,0.5568181818181818,0.46250223734612356,9,N09_M07_F10,N15_M07_F10,512-256
a_to_d,MMD-SDAE,mmd,42,0.5230938416422287,0.43594464883718853,10,N09_M07_F10,N15_M07_F10,512-256
a_to_d,DANN-SDAE,dann,42,0.5542521994134897,0.46309177157034886,8,N09_M07_F10,N15_M07_F10,512-256
a_to_d,Adaptive-SDAE-3M,proposed,42,0.5505865102639296,0.3880863977098416,5,N09_M07_F10,N15_M07_F10,640-320
b_to_a,ERM-SDAE,erm,42,0.4736070381231672,0.3903596772475632,9,N15_M01_F10,N09_M07_F10,512-256
b_to_a,Mixup-SDAE,mixup,42,0.4563782991202346,0.38034550614871904,9,N15_M01_F10,N09_M07_F10,512-256
b_to_a,CORAL-SDAE,coral,42,0.49560117302052786,0.4071152944976603,10,N15_M01_F10,N09_M07_F10,512-256
b_to_a,MMD-SDAE,mmd,42,0.5018328445747801,0.4203863399554974,10,N15_M01_F10,N09_M07_F10,512-256
b_to_a,DANN-SDAE,dann,42,0.4937683284457478,0.408246021311879,6,N15_M01_F10,N09_M07_F10,512-256
b_to_a,Adaptive-SDAE-3M,proposed,42,0.5960410557184751,0.5480290755810623,10,N15_M01_F10,N09_M07_F10,640-320
b_to_c,ERM-SDAE,erm,42,0.6004398826979472,0.5147501941249449,9,N15_M01_F10,N15_M07_F04,512-256
b_to_c,Mixup-SDAE,mixup,42,0.6110703812316716,0.538554845871048,7,N15_M01_F10,N15_M07_F04,512-256
b_to_c,CORAL-SDAE,coral,42,0.592741935483871,0.5140723306355947,7,N15_M01_F10,N15_M07_F04,512-256
b_to_c,MMD-SDAE,mmd,42,0.6063049853372434,0.5307743460832536,9,N15_M01_F10,N15_M07_F04,512-256
b_to_c,DANN-SDAE,dann,42,0.593475073313783,0.5034973489860036,10,N15_M01_F10,N15_M07_F04,512-256
