task,method,raw_method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_seeds
a_to_b,Adaptive-SDAE-3M,proposed,0.5813782991202346,0.0,0.4201503094988773,0.0,1
a_to_b,CORAL-SDAE,coral,0.6000733137829912,0.0,0.49946718988730243,0.0,1
a_to_b,DANN-SDAE,dann,0.5953079178885631,0.0,0.4872038800327285,0.0,1
a_to_b,ERM-SDAE,erm,0.5527859237536656,0.0,0.4503065408071876,0.0,1
a_to_b,MMD-SDAE,mmd,0.5769794721407625,0.0,0.4631177287677395,0.0,1
a_to_b,Mixup-SDAE,mixup,0.5194281524926686,0.0,0.4240665640035462,0.0,1
a_to_c,Adaptive-SDAE-3M,proposed,0.5208944281524927,0.0,0.426912373632252,0.0,1
a_to_c,CORAL-SDAE,coral,0.5084310850439883,0.0,0.4139336085477652,0.0,1
a_to_c,DANN-SDAE,dann,0.5128299120234604,0.0,0.43517180284953977,0.0,1
a_to_c,ERM-SDAE,erm,0.48277126099706746,0.0,0.4082132134806879,0.0,1
a_to_c,MMD-SDAE,mmd,0.5271260997067448,0.0,0.44425924120700006,0.0,1
a_to_c,Mixup-SDAE,mixup,0.47543988269794724,0.0,0.3978197914413741,0.0,1
a_to_d,Adaptive-SDAE-3M,proposed,0.5505865102639296,0.0,0.3880863977098416,0.0,1
a_to_d,CORAL-SDAE,coral,0.5568181818181818,0.0,0.46250223734612356,0.0,1
a_to_d,DANN-SDAE,dann,0.5542521994134897,0.0,0.46309177157034886,0.0,1
a_to_d,ERM-SDAE,erm,0.5432551319648093,0.0,0.44891950843306433,0.0,1
a_to_d,MMD-SDAE,mmd,0.5230938416422287,0.0,0.43594464883718853,0.0,1
a_to_d,Mixup-SDAE,mixup,0.5036656891495601,0.0,0.4082267015705579,0.0,1
b_to_a,Adaptive-SDAE-3M,proposed,0.5960410557184751,0.0,0.5480290755810623,0.0,1
b_to_a,CORAL-SDAE,coral,0.49560117302052786,0.0,0.4071152944976603,0.0,1
b_to_a,DANN-SDAE,dann,0.4937683284457478,0.0,0.408246021311879,0.0,1
b_to_a,ERM-SDAE,erm,0.4736070381231672,0.0,0.3903596772475632,0.0,1
