task,variant_removed,full_acc,variant_acc,delta
load_shift,adaptive_only,0.760386119257087,0.7255620723362659,0.03482404692082108
load_shift,no_disc_upgrade,0.760386119257087,0.7977761485826002,-0.03739002932551316
load_shift,no_oscillation,0.760386119257087,0.760386119257087,0.0
load_shift,no_sparsity,0.760386119257087,0.7261730205278593,0.03421309872922773
load_shift,squared_only,0.760386119257087,0.7554985337243402,0.004887585532746819
load_shift,vanilla,0.760386119257087,0.7943548387096774,-0.03396871945259039
radial_shift,adaptive_only,0.6291544477028348,0.6336754643206256,-0.004521016617790807
radial_shift,no_disc_upgrade,0.6291544477028348,0.6675219941348973,-0.03836754643206253
radial_shift,no_oscillation,0.6291544477028348,0.6291544477028348,0.0
radial_shift,no_sparsity,0.6291544477028348,0.6171798631476051,0.011974584555229706
radial_shift,squared_only,0.6291544477028348,0.623533724340176,0.0056207233626588415
radial_shift,vanilla,0.6291544477028348,0.6389296187683284,-0.009775171065493637
speed_shift,adaptive_only,0.4852150537634408,0.4876588465298142,-0.0024437927663734094
speed_shift,no_disc_upgrade,0.4852150537634408,0.6059384164222874,-0.12072336265884659
speed_shift,no_oscillation,0.4852150537634408,0.4852150537634408,0.0
speed_shift,no_sparsity,0.4852150537634408,0.49376832844574775,-0.008553274682306933
speed_shift,squared_only,0.4852150537634408,0.6132697947214076,-0.12805474095796682
speed_shift,vanilla,0.4852150537634408,0.602394916911046,-0.11717986314760515
