task,sources,target,method,raw_method,seed,accuracy,macro_f1
b+c+d_to_a,b+c+d,a,ERM-SDAE,erm,42,0.4736070381231672,0.3982445624053252
b+c+d_to_a,b+c+d,a,Mixup-SDAE,mixup,42,0.4464809384164223,0.3694336456003213
b+c+d_to_a,b+c+d,a,CORAL-SDAE,coral,42,0.4864369501466276,0.3997431622796117
b+c+d_to_a,b+c+d,a,MMD-SDAE,mmd,42,0.501466275659824,0.4271697579522972
b+c+d_to_a,b+c+d,a,DANN-SDAE,dann,42,0.500366568914956,0.42417152150351844
b+c+d_to_a,b+c+d,a,Adaptive-SDAE-3M,proposed,42,0.39552785923753664,0.3739272600131251
a+c+d_to_b,a+c+d,b,ERM-SDAE,erm,42,0.7657624633431085,0.6784478687860593
a+c+d_to_b,a+c+d,b,Mixup-SDAE,mixup,42,0.781891495601173,0.7023291808839964
a+c+d_to_b,a+c+d,b,CORAL-SDAE,coral,42,0.7221407624633431,0.6214117516525628
a+c+d_to_b,a+c+d,b,MMD-SDAE,mmd,42,0.749633431085044,0.653146785283062
a+c+d_to_b,a+c+d,b,DANN-SDAE,dann,42,0.7470674486803519,0.6483381261779456
a+c+d_to_b,a+c+d,b,Adaptive-SDAE-3M,proposed,42,0.7991202346041055,0.798456933778786
a+b+d_to_c,a+b+d,c,ERM-SDAE,erm,42,0.6392961876832844,0.573900289312602
a+b+d_to_c,a+b+d,c,Mixup-SDAE,mixup,42,0.6444281524926686,0.5995862808399907
a+b+d_to_c,a+b+d,c,CORAL-SDAE,coral,42,0.6293988269794721,0.5476734097782833
a+b+d_to_c,a+b+d,c,MMD-SDAE,mmd,42,0.625366568914956,0.5614178501489832
a+b+d_to_c,a+b+d,c,DANN-SDAE,dann,42,0.6381964809384164,0.5656654476020443
a+b+d_to_c,a+b+d,c,Adaptive-SDAE-3M,proposed,42,0.6752199413489736,0.7304496339462142
a+b+c_to_d,a+b+c,d,ERM-SDAE,erm,42,0.751466275659824,0.6332366321836878
a+b+c_to_d,a+b+c,d,Mixup-SDAE,mixup,42,0.7694281524926686,0.684512991190605
a+b+c_to_d,a+b+c,d,CORAL-SDAE,coral,42,0.7225073313782991,0.6093661551951018
a+b+c_to_d,a+b+c,d,MMD-SDAE,mmd,42,0.7437683284457478,0.6190923688244899
a+b+c_to_d,a+b+c,d,DANN-SDAE,dann,42,0.7445014662756598,0.6158657323186698
a+b+c_to_d,a+b+c,d,Adaptive-SDAE-3M,proposed,42,0.782258064516129,0.757407442745157
