stage,expansion,hidden_dims,val_loss,accepted,improvement_abs,improvement_rel,traj_rel_std,traj_slope,traj_stable,variant
0,base,512-256,0.7934746633876454,True,,,0.377487883940074,-0.25249378354318674,False,fusion_adaptive
1,width,640-320,0.6220888603817333,False,0.1713858030059121,0.21599404607854883,0.3985700489599477,-0.3034478674973211,False,fusion_adaptive
2,depth,512-256-128,0.7954921830784191,False,-0.0020175196907736836,-0.0025426390833453005,0.3227461963617606,-0.2629698886025338,False,fusion_adaptive
0,base,512-256,0.6586624383926392,True,,,0.4387342328432661,-1.3638683957438318,False,fusion_adaptive_disc
1,width,640-320,0.6663097955963828,False,-0.007647357203743654,-0.011610434659680629,0.3854096210231958,-1.2387046556318961,False,fusion_adaptive_disc
2,depth,512-256-128,0.6894312555139716,False,-0.030768817121332392,-0.046714091054620925,0.6708225319089772,-2.765285127778208,False,fusion_adaptive_disc
0,base,512-256,0.6704474145715887,True,,,0.34042707439547404,-0.29616793163361094,False,fusion_adaptive_speed
1,width,640-320,0.7175687605684454,False,-0.04712134599685669,-0.07028343308172336,0.3539750514597303,-0.30721061229705815,False,fusion_adaptive_speed
2,depth,512-256-128,0.6952795440500433,False,-0.02483212947845459,-0.0370381463762108,0.28488929670646396,-0.3022146465316895,False,fusion_adaptive_speed
0,base,512-256,0.6309678662906993,True,,,0.2996450209945039,-0.9208385736711565,False,fusion_adaptive_disc_speed
1,width,640-320,0.6761388020081953,False,-0.045170935717495975,-0.07158991468621768,0.27426349697792013,-1.0133445262908936,False,fusion_adaptive_disc_speed
2,depth,512-256-128,0.6922229961915449,False,-0.061255129900845584,-0.0970812194620132,0.6003893106410513,-2.701358367550758,False,fusion_adaptive_disc_speed
