variant,snr_db,accuracy
fusion_adaptive,6.0,0.49230205278592376
fusion_adaptive,0.0,0.5197947214076246
fusion_adaptive,-6.0,0.499266862170088
fusion_adaptive_disc,6.0,0.5366568914956011
fusion_adaptive_disc,0.0,0.5058651026392962
fusion_adaptive_disc,-6.0,0.46737536656891493
fusion_adaptive_disc_speed,6.0,0.5227272727272727
fusion_adaptive_disc_speed,0.0,0.47617302052785926
fusion_adaptive_disc_speed,-6.0,0.4596774193548387
fusion_adaptive_speed,6.0,0.5399560117302052
fusion_adaptive_speed,0.0,0.532258064516129
fusion_adaptive_speed,-6.0,0.5047653958944281
fusion_fixed,6.0,0.4783724340175953
fusion_fixed,0.0,0.4963343108504399
fusion_fixed,-6.0,0.49780058651026393
